,PLAYERPLAYER,TEAMTEAM,G Games PlayedGames in which a player has appeared. G Games PlayedGames in which a player has appeared.,"AB At BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference. AB At BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.",R RunsWhen a baserunner safely reaches home plate and scores. R RunsWhen a baserunner safely reaches home plate and scores.,H HitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice. H HitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.,2B DoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner. 2B DoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.,3B TriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner. 3B TriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.,"HR Home RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error. HR Home RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.","RBI Runs Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference. RBI Runs Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.",BB WalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base. BB WalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.,SO StrikeoutsWhen the umpire calls three strikes on the batter. SO StrikeoutsWhen the umpire calls three strikes on the batter.,"SB Stolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk. SB Stolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.",CS Caught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base. CS Caught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.,AVG Batting AverageThe rate of hits per at bat.H/AB AVG Batting AverageThe rate of hits per at bat.H/AB,OBP On-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF) OBP On-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF),SLG Slugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB SLG Slugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB,caret-upcaret-down OPS On-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLGcaret-upcaret-down OPS On-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLG
0,1RainelR RosarioRosarioCF1‌‌‌,SLT,90,341,103,127,25,2,38,116,53,55,7,3,0.372,0.456,0.792,1.248
1,2HenryH UrrutiaUrrutia1B2‌‌‌,SLT,90,333,80,140,29,0,25,88,36,40,1,0,0.42,0.479,0.733,1.212
2,3NickN WilliamsWilliamsRF3‌‌‌,TIJ,84,319,89,118,14,5,29,72,35,76,6,2,0.37,0.454,0.718,1.172
3,4KeonK BroxtonBroxtonCF4‌‌‌,MVA,73,253,64,90,18,0,20,48,59,83,12,8,0.356,0.486,0.664,1.15
4,5AlberthA MartinezMartinezRF5‌‌‌,DUR,89,344,74,143,32,5,14,96,32,57,4,1,0.416,0.47,0.66,1.13
5,6FelixF PerezPerezDH6‌‌‌,TIJ,87,316,73,102,14,0,38,109,34,57,0,1,0.323,0.399,0.728,1.127
6,7AneuryA TavárezTavarezDH7‌‌‌,DUR,85,325,85,126,19,0,23,80,32,43,13,5,0.388,0.466,0.658,1.124
7,8AddisonA RussellRussellSS8‌‌‌,MVA,80,279,72,97,16,2,24,74,47,57,8,1,0.348,0.443,0.677,1.12
8,9RoelR SantosSantosCF9‌‌‌,TAB,68,253,65,104,18,6,8,30,34,32,16,6,0.411,0.476,0.625,1.101
9,10Juan CarlosJ GamboaGamboaSS10‌‌‌,MEX,74,248,66,90,21,2,16,54,36,46,0,1,0.363,0.443,0.657,1.1
10,11RamonR HernandezHernandez3B11‌‌‌,TAB,68,242,50,89,14,1,17,59,31,42,0,1,0.368,0.446,0.645,1.091
11,12AngelA ReyesReyesCF12‌‌‌,AGS,61,219,58,79,17,1,16,58,24,47,8,6,0.361,0.42,0.667,1.087
12,13JuanJ PerezPerez2B13‌‌‌,MVA,80,271,74,93,17,2,20,75,49,62,16,8,0.343,0.444,0.642,1.086
13,14SebastianS ElizaldeElizaldeRF14‌‌‌,MTY,83,299,70,115,24,2,12,62,47,45,20,8,0.385,0.465,0.599,1.064
14,15JesseJ CastilloCastillo1B15‌‌‌,LAG,69,235,53,77,19,0,17,59,42,38,6,2,0.328,0.427,0.626,1.053
15,16PeterP O'BrienO'BrienCF16‌‌‌,PUE,85,299,70,89,15,1,32,78,37,91,2,3,0.298,0.375,0.676,1.051
16,17LeoL HerasHerasRF17‌‌‌,TAB,61,243,53,90,16,3,13,33,24,60,5,6,0.37,0.425,0.621,1.046
17,18ZoiloZ AlmonteAlmonteDH18‌‌‌,MTY,90,326,65,105,24,0,27,95,43,71,1,0,0.322,0.399,0.644,1.043
18,19NickN TorresTorresRF19‌‌‌,LAG,73,268,66,101,15,0,14,56,32,72,4,0,0.377,0.452,0.59,1.042
19,20ArtA CharlesCharles1B20‌‌‌,YUC,70,229,47,67,22,0,18,54,40,78,0,0,0.293,0.416,0.624,1.04
20,21RamonR FloresFloresRF21‌‌‌,MEX,78,288,58,110,18,5,10,67,39,44,2,2,0.382,0.455,0.583,1.038
21,21MissaelM RiveraRiveraSS21‌‌‌,SLT,87,302,63,117,25,2,10,56,38,53,3,1,0.387,0.455,0.583,1.038
22,23AlejandroA MejiaMejia1B23‌‌‌,PUE,71,263,56,89,13,1,22,71,24,68,0,0,0.338,0.391,0.646,1.037
23,24LuisL SardinasSardinasSS24‌‌‌,LAG,84,312,67,112,30,0,16,54,36,48,4,1,0.359,0.426,0.609,1.035
24,25JoeyJ TerdoslavichTerdoslavich1B25‌‌‌,LEO,90,322,57,106,25,1,21,76,54,65,4,1,0.329,0.424,0.609,1.033
